Op Batch No,Actual Product,Order Tdc,Segment,Prop Ip Wt,O/P Wt,Total Length,Area,Zinc,Process Duration(in min),CRFH thickness(mm),GP thickness(mm),Total Zn/AlZn Coating,Op Width,Speed(mpm),Productivity(TPH)
2440KD1000,GI,ZGN110,Retail,11.118,11.116,964.8,1206.0,0.106,12.0,0.001,0.0133,87.936,1250,80.4,55.58
2440KD2000,GI,ZGN110,Retail,10.372,10.371,900.3,1125.38,0.103,12.0,0.001,0.0139,91.756,1250,75.025,51.855
2440KF0000,GI,ZEX110,export,22.23,22.53,1480.0,1850.0,0.509,20.0,0.002,0.0405,275.0,1250,74.0,67.59
2440KL0000,GI,ZEX110,export,22.31,22.795,3249.7,4062.12,0.582,33.0,0.001,0.0211,143.201,1250,98.476,41.445
2440KM0000,GI,ZTU110,P&T,22.51,22.31,1621.428,2026.79,0.162,23.0,0.001,0.0122,80.0,1250,70.497,58.2
2440KQ1000,GI,ZEX110,export,9.811,10.05,740.0,1110.0,0.319,8.0,0.001,0.0412,287.0,1500,92.5,75.375
2440KQ2000,GI,ZEX110,export,9.806,10.045,740.0,1110.0,0.319,7.0,0.001,0.0412,287.0,1500,105.714,86.1
2440KQ3000,GI,ZEX110,export,8.863,9.079,660.0,990.0,0.284,7.0,0.001,0.0412,287.0,1500,94.286,77.82
2440KR1000,GI,ZEX110,export,8.051,8.415,1051.1,1576.65,0.438,8.0,0.001,0.0399,277.515,1500,131.388,63.112
2440KR2000,GI,ZEX110,export,8.058,8.422,1051.7,1577.55,0.437,8.0,0.001,0.0398,276.874,1500,131.462,63.165
2440KR3000,GI,ZEX110,export,7.641,7.987,996.4,1494.6,0.432,8.0,0.001,0.0414,288.737,1500,124.55,59.902
2440KS0000,GI,ZEX110,export,21.88,22.269,3184.5,3980.62,0.611,30.0,0.001,0.0225,153.383,1250,106.15,44.538
2440KT0000,GI,ZPK001,Other,21.76,21.96,2885.5,3606.88,0.293,36.0,0.001,0.0124,81.36,1250,80.153,36.6
2440KV1000,GI,ZEX110,export,9.739,10.114,1100.0,1650.0,0.474,10.0,0.001,0.0412,287.0,1500,110.0,60.684
2440KV2000,GI,ZEX110,export,9.731,10.106,1100.0,1650.0,0.474,8.0,0.001,0.0412,287.0,1500,137.5,75.795
2440KV3000,GI,ZEX110,export,8.84,9.18,1038.106,1557.16,0.447,9.0,0.001,0.0412,287.0,1500,115.345,61.2
2440KW0000,GI,ZEX110,export,22.23,22.701,3234.7,4043.38,0.642,31.0,0.001,0.0232,158.671,1250,104.345,43.937
2440LA0000,GI,ZEX110,export,22.34,23.57,3950.0,4898.0,1.347,30.0,0.001,0.0395,275.0,1240,131.667,47.14
2440LB0000,GI,ZTU110,P&T,22.15,22.056,1402.597,1753.25,0.14,20.0,0.002,0.0132,80.0,1250,70.13,66.168
2440LC0000,GI,ZEX110,export,22.28,23.286,2921.8,3652.25,1.08,28.0,0.001,0.0424,295.756,1250,104.35,49.899
2440LF1000,GI,ZEX110,export,9.601,10.076,1302.6,1953.9,0.551,10.0,0.001,0.0405,281.767,1500,130.26,60.456
2440LF2000,GI,ZEX110,export,9.59,10.065,1302.5,1953.75,0.552,10.0,0.001,0.0405,282.377,1500,130.25,60.39
2440LF3000,GI,ZEX110,export,9.359,9.823,1270.6,1905.9,0.537,10.0,0.001,0.0405,281.913,1500,127.06,58.938
2440LG1000,GI,ZEX110,export,9.899,10.297,1149.8,1724.7,0.489,9.0,0.001,0.0407,283.341,1500,127.756,68.647
2440LG2000,GI,ZEX110,export,9.8,10.194,1140.7,1711.05,0.482,9.0,0.001,0.0405,281.858,1500,126.744,67.96
2440LG3000,GI,ZEX110,export,8.721,9.072,1015.2,1522.8,0.429,8.0,0.001,0.0404,281.398,1500,126.9,68.04
2440LK0000,GI,ZEX110,export,21.5,22.553,2776.0,3470.0,1.076,29.0,0.001,0.0444,310.0,1250,95.724,46.661
2440LL0000,GI,ZEX110,export,21.81,23.013,3850.0,4774.0,1.313,30.0,0.001,0.0395,275.0,1240,128.333,46.026
2440LM0000,GI,ZEX110,export,22.47,23.054,3292.8,4116.0,0.635,32.0,0.001,0.0226,154.327,1250,102.9,43.226
2440LN1000,GI,ZEX110,export,9.988,10.539,1760.0,2182.4,0.626,14.0,0.001,0.0412,287.0,1240,125.714,45.167
2440LN2000,GI,ZEX110,export,12.162,12.833,2153.0,2669.72,0.766,16.0,0.001,0.0412,287.0,1240,134.562,48.124
2440LQ0000,GI,ZEX110,export,20.3,21.495,3646.1,4521.16,1.327,30.0,0.001,0.0421,293.569,1240,121.537,42.99
2440LR0000,GI,ZEX110,export,22.16,22.643,3230.2,4037.75,0.627,31.0,0.001,0.0228,155.373,1250,104.2,43.825
2440MA0000,GI,ZEX110,export,22.38,22.55,1480.0,1850.0,0.509,20.0,0.002,0.0405,275.0,1250,74.0,67.65
2440MH1000,GI,ZGN110,Retail,11.966,11.91,807.879,1009.85,0.089,11.0,0.002,0.0143,88.0,1250,73.444,64.964
2440MH2000,GI,ZGN110,Retail,10.194,10.146,688.224,860.28,0.076,7.0,0.002,0.0143,88.0,1250,98.318,86.966
2440MJ0000,GI,ZTU110,P&T,22.32,22.23,1644.6,2055.75,0.18,25.0,0.001,0.0133,87.768,1250,65.784,53.352
2440MK0000,GI,ZEX110,export,22.24,22.818,3251.3,4064.12,0.638,31.0,0.001,0.023,156.945,1250,104.881,44.164
2440MS0000,GI,ZTU110,P&T,21.61,21.532,1859.7,2324.62,0.204,25.0,0.001,0.0133,87.733,1250,74.388,51.677
2440MT1000,GI,ZEX110,export,15.362,16.0,2000.0,2500.0,0.718,10.0,0.001,0.0412,287.0,1250,200.0,96.0
2440MT2000,GI,ZEX110,export,2.477,2.58,300.0,375.0,0.108,10.0,0.001,0.0412,287.0,1250,30.0,15.48
2440MT3000,GI,ZEX110,export,4.551,4.74,580.0,725.0,0.208,10.0,0.001,0.0412,287.0,1250,58.0,28.44
2440MU1000,GI,ZEX110,export,9.295,9.778,1245.0,1867.5,0.536,21.0,0.001,0.0412,287.0,1500,59.286,27.937
2440MU2000,GI,ZEX110,export,10.208,10.739,1374.0,2061.0,0.592,11.0,0.001,0.0412,287.0,1500,124.909,58.576
2440MU3000,GI,ZEX110,export,8.977,9.444,1195.0,1792.5,0.514,10.0,0.001,0.0412,287.0,1500,119.5,56.664
2440MW1000,GI,ZEX110,export,9.677,10.09,1100.0,1650.0,0.474,10.0,0.001,0.0412,287.0,1500,110.0,60.54
2440MW2000,GI,ZEX110,export,9.685,10.098,1100.0,1650.0,0.474,8.0,0.001,0.0412,287.0,1500,137.5,75.735
2440MW3000,GI,ZEX110,export,8.958,9.34,1056.2,1584.3,0.455,9.0,0.001,0.0412,287.0,1500,117.356,62.267
2440MY1000,GI,ZAP130,Appliance,4.948,7.765,590.448,927.0,0.266,11.0,0.001,0.0412,287.0,1570,53.677,42.355
2440MY2000,GI,ZAP130,Appliance,3.873,3.82,386.947,607.51,0.174,4.0,0.001,0.0412,287.0,1570,96.737,57.3
